id_tabela,nome_coluna,chave,cobertura_temporal,valor
microdados,b0037,1,2020-05(1)2020-11,Sim
microdados,b0103,1,2020-05(1)2020-11,Sim
microdados,b008,1,2020-05(1)2020-11,Sim
microdados,c017a,1,2020-05(1)2020-11,Sim
microdados,b005,1,2020-05(1)2020-11,Sim
microdados,c013,1,2020-05(1)2020-11,Sim
microdados,a006,1,2020-05(1)2020-11,Sim
microdados,b0019,1,2020-05(1)2020-11,Sim
microdados,b0036,1,2020-05(1)2020-11,Sim
microdados,b0044,1,2020-05(1)2020-11,Sim
microdados,c004,1,2020-05(1)2020-11,Sim
microdados,f002a1,1,2020-05(1)2020-11,Sim
microdados,b0045,1,2020-05(1)2020-11,Sim
microdados,b0011,2,2020-05(1)2020-11,Não
microdados,b009a,2,2020-05(1)2020-11,Não
microdados,b00113,2,2020-05(1)2020-11,Não
microdados,b0035,2,2020-05(1)2020-11,Não
microdados,b0044,2,2020-05(1)2020-11,Não
microdados,b0105,2,2020-05(1)2020-11,Não
microdados,b0043,2,2020-05(1)2020-11,Não
microdados,d0011,2,2020-05(1)2020-11,Não
microdados,c014,2,2020-05(1)2020-11,Não
microdados,b002,2,2020-05(1)2020-11,Não
microdados,b0036,2,2020-05(1)2020-11,Não
microdados,a006,2,2020-05(1)2020-11,Não
microdados,b0104,2,2020-05(1)2020-11,Não
microdados,e0023,2,2020-05(1)2020-11,Não
microdados,c001,2,2020-05(1)2020-11,Não
microdados,f002a3,2,2020-05(1)2020-11,Não
microdados,f002a4,2,2020-05(1)2020-11,Não
microdados,b0018,2,2020-05(1)2020-11,Não
microdados,b0019,2,2020-05(1)2020-11,Não
microdados,b0106,2,2020-05(1)2020-11,Não
microdados,d0071,2,2020-05(1)2020-11,Não
microdados,b0031,2,2020-05(1)2020-11,Não
microdados,b00110,2,2020-05(1)2020-11,Não
microdados,c012,2,2020-05(1)2020-11,Não
microdados,b00111,2,2020-05(1)2020-11,Não
microdados,b00112,2,2020-05(1)2020-11,Não
microdados,b0032,2,2020-05(1)2020-11,Não
microdados,b007,2,2020-05(1)2020-11,Não
microdados,b0101,2,2020-05(1)2020-11,Não
microdados,f002a2,2,2020-05(1)2020-11,Não
microdados,b009c,2,2020-05(1)2020-11,Não
microdados,b0017,2,2020-05(1)2020-11,Não
microdados,c006,2,2020-05(1)2020-11,Não
microdados,b0013,2,2020-05(1)2020-11,Não
microdados,c002,2,2020-05(1)2020-11,Não
microdados,c013,2,2020-05(1)2020-11,Não
microdados,b0016,2,2020-05(1)2020-11,Não
microdados,d0031,2,2020-05(1)2020-11,Não
microdados,d0061,2,2020-05(1)2020-11,Não
microdados,b008,2,2020-05(1)2020-11,Não
microdados,c004,2,2020-05(1)2020-11,Não
microdados,c007f,2,2020-05(1)2020-11,Não
microdados,f002a1,2,2020-05(1)2020-11,Não
microdados,b0045,2,2020-05(1)2020-11,Não
microdados,e0021,2,2020-05(1)2020-11,Não
microdados,b0037,2,2020-05(1)2020-11,Não
microdados,b0015,2,2020-05(1)2020-11,Não
microdados,b0046,2,2020-05(1)2020-11,Não
microdados,c015,2,2020-05(1)2020-11,Não
microdados,e0022,2,2020-05(1)2020-11,Não
microdados,b0034,2,2020-05(1)2020-11,Não
microdados,b005,2,2020-05(1)2020-11,Não
microdados,d0021,2,2020-05(1)2020-11,Não
microdados,b0041,2,2020-05(1)2020-11,Não
microdados,c009a,2,2020-05(1)2020-11,Não
microdados,b0012,2,2020-05(1)2020-11,Não
microdados,d0041,2,2020-05(1)2020-11,Não
microdados,b0102,2,2020-05(1)2020-11,Não
microdados,b0103,2,2020-05(1)2020-11,Não
microdados,b006,2,2020-05(1)2020-11,Não
microdados,c017a,2,2020-05(1)2020-11,Não
microdados,d0051,2,2020-05(1)2020-11,Não
microdados,f002a5,2,2020-05(1)2020-11,Não
microdados,b0042,2,2020-05(1)2020-11,Não
microdados,b009e,2,2020-05(1)2020-11,Não
microdados,e0024,2,2020-05(1)2020-11,Não
microdados,b0014,2,2020-05(1)2020-11,Não
microdados,b0033,2,2020-05(1)2020-11,Não
microdados,c007b,3,2020-05(1)2020-11,Não
microdados,a007,3,2020-05(1)2020-11,Não
